dataset,experiment,model,variant,added_dim,bucket,accuracy_mean,accuracy_std,macro_f1_mean
cora,cora_sage_fca_intent2,graphsage,fca_feat,12,low,0.744,0.02034698994937582,0.7199250509098428
cora,cora_sage_fca_intent2,graphsage,fca_feat,12,medium,0.8339080459770114,0.010503256829021318,0.8287170456861647
cora,cora_sage_fca_intent2,graphsage,fca_feat,12,high,0.8365079365079365,0.011878277418329967,0.8350157163054333
cora,cora_sage_svd_k256,graphsage,svd_control,256,low,0.7415,0.011575836902790189,0.7219363029008464
cora,cora_sage_svd_k256,graphsage,svd_control,256,medium,0.8293103448275861,0.00466898758887126,0.8282632388082642
cora,cora_sage_svd_k256,graphsage,svd_control,256,high,0.8404761904761905,0.004627739599083553,0.8430866312509633
cora,cora_sage_fca_k64_support_hard,graphsage,fca_feat,64,low,0.741,0.007999999999999978,0.7196128522027896
cora,cora_sage_fca_k64_support_hard,graphsage,fca_feat,64,medium,0.824712643678161,0.010280772310343862,0.8178248567858482
cora,cora_sage_fca_k64_support_hard,graphsage,fca_feat,64,high,0.8420634920634921,0.015348475877629981,0.8411335406758349
cora,cora_sage_pool_raw,graphsage,raw,0,low,0.7165,0.011247221879201994,0.6925330702878811
cora,cora_sage_pool_raw,graphsage,raw,0,medium,0.8057471264367816,0.013305559658379556,0.8001316417623545
cora,cora_sage_pool_raw,graphsage,raw,0,high,0.8182539682539682,0.005264483794214902,0.8127696796912653
cora,cora_mlp_fca,mlp,fca_feat,128,low,0.5865,0.007516648189186432,0.5413905906560144
cora,cora_mlp_fca,mlp,fca_feat,128,medium,0.5862068965517241,0.0044517049956406965,0.5711704113727032
cora,cora_mlp_fca,mlp,fca_feat,128,high,0.5857142857142856,0.00991269523555303,0.5757759971819769
cora,cora_mlp_raw,mlp,raw,0,low,0.5685,0.012708265027138824,0.536209362833004
cora,cora_mlp_raw,mlp,raw,0,medium,0.5775862068965517,0.00961678191418477,0.5676739160581532
cora,cora_mlp_raw,mlp,raw,0,high,0.5682539682539682,0.0029695693545824823,0.5665780923902993
cora,cora_logreg_raw,logreg,raw,0,low,0.46399999999999997,0.005147815070493471,0.4418785065292739
cora,cora_logreg_raw,logreg,raw,0,medium,0.4695402298850574,0.009547843520595485,0.4643062849670304
cora,cora_logreg_raw,logreg,raw,0,high,0.4793650793650793,0.008473871628596258,0.47537036281535744
pubmed,pubmed_sage_raw,graphsage,raw,0,low,0.7560669456066946,0.002837794972018939,0.7585776021329658
pubmed,pubmed_sage_raw,graphsage,raw,0,medium,0.748178137651822,0.009016622449927174,0.7261752080819328
pubmed,pubmed_sage_raw,graphsage,raw,0,high,0.7985454545454546,0.013913546523424714,0.7873700967683195
pubmed,pubmed_sage_svd_k32,graphsage,svd_control,32,low,0.7610878661087866,0.009848202758108604,0.7647967782467763
pubmed,pubmed_sage_svd_k32,graphsage,svd_control,32,medium,0.7433198380566802,0.00833654262428097,0.7222299438246403
pubmed,pubmed_sage_svd_k32,graphsage,svd_control,32,high,0.7941818181818181,0.0099186775978079,0.7858722092855746
pubmed,pubmed_sage_svd_k64,graphsage,svd_control,64,low,0.7543933054393306,0.012169907591840182,0.7582961949340582
pubmed,pubmed_sage_svd_k64,graphsage,svd_control,64,medium,0.7376518218623482,0.0069654455603583845,0.7147648740641619
pubmed,pubmed_sage_svd_k64,graphsage,svd_control,64,high,0.8007272727272727,0.005818181818181782,0.7904496802980484
pubmed,pubmed_sage_svd_k128,graphsage,svd_control,128,low,0.7510460251046025,0.00477060847321818,0.7531000464438752
pubmed,pubmed_sage_svd_k128,graphsage,svd_control,128,medium,0.7336032388663967,0.00785049369622078,0.704956516660386
pubmed,pubmed_sage_svd_k128,graphsage,svd_control,128,high,0.8050909090909091,0.0037083778280674815,0.7958221722488114
pubmed,pubmed_sage_svd_k256,graphsage,svd_control,256,low,0.7510460251046025,0.0045834523640599515,0.7531025647890957
pubmed,pubmed_sage_svd_k256,graphsage,svd_control,256,medium,0.7392712550607288,0.007509002830360845,0.7165075142999915
pubmed,pubmed_sage_svd_k256,graphsage,svd_control,256,high,0.7992727272727272,0.010129736928861205,0.7872518549019227
pubmed,pubmed_sage_fca_k256_support_hard,graphsage,fca_feat,256,low,0.7205020920502092,0.011038415027843473,0.7216594074757101
pubmed,pubmed_sage_fca_k256_support_hard,graphsage,fca_feat,256,medium,0.7303643724696356,0.01710017172626953,0.7307312423829935
pubmed,pubmed_sage_fca_k256_support_hard,graphsage,fca_feat,256,high,0.7810909090909091,0.011590819964006746,0.7738653437949979
pubmed,pubmed_mlp_raw,mlp,raw,0,low,0.7167364016736402,0.007669582753064167,0.7201904539817277
pubmed,pubmed_mlp_raw,mlp,raw,0,medium,0.7117408906882592,0.01627510222043871,0.7046586409749137
pubmed,pubmed_mlp_raw,mlp,raw,0,high,0.7534545454545455,0.007051170701696462,0.7436954795546878
pubmed,pubmed_sage_fca_soft,graphsage,fca_feat,128,low,0.6573221757322176,0.0105352956585893,0.6677712958645647
pubmed,pubmed_sage_fca_soft,graphsage,fca_feat,128,medium,0.7129554655870446,0.025952017021113123,0.7163110153872219
pubmed,pubmed_sage_fca_soft,graphsage,fca_feat,128,high,0.7385454545454546,0.022851297953985397,0.7362710376351816
pubmed,pubmed_sage_fca_k128_support_hard,graphsage,fca_feat,128,low,0.6506276150627615,0.006615643640519634,0.6663410398897567
pubmed,pubmed_sage_fca_k128_support_hard,graphsage,fca_feat,128,medium,0.6890688259109312,0.010048318741692966,0.7022506675528681
pubmed,pubmed_sage_fca_k128_support_hard,graphsage,fca_feat,128,high,0.7170909090909091,0.009313635254447781,0.7183109105249638
pubmed,pubmed_sage_fca_k32_support_hard,graphsage,fca_feat,32,low,0.6376569037656903,0.010862556473428623,0.6517687928008076
pubmed,pubmed_sage_fca_k32_support_hard,graphsage,fca_feat,32,medium,0.6761133603238866,0.014024702895294576,0.6844921857193017
pubmed,pubmed_sage_fca_k32_support_hard,graphsage,fca_feat,32,high,0.72,0.013989370226670067,0.7175110022188436
pubmed,pubmed_sage_fca_k64_support_hard,graphsage,fca_feat,64,low,0.6355648535564853,0.006668358765903435,0.6504347677616361
pubmed,pubmed_sage_fca_k64_support_hard,graphsage,fca_feat,64,medium,0.6663967611336032,0.009089046283661396,0.6769616328140032
pubmed,pubmed_sage_fca_k64_support_hard,graphsage,fca_feat,64,high,0.7025454545454546,0.006665564647208479,0.7117489346562629
